metric,sn,scan_id,scan_processed_date,mean,median,min,max
Can Wall Thickness (mm),LH1T-10,2289,2024-02-01 16:46:26,0.233,0.23343,0.23124,0.23703
Can Inner Diameter (mm),LH1T-11,2290,2024-02-01 16:55:50,20.551,20.54957,20.51831,20.58972
Can Outer Diameter (mm),LH1T-11,2290,2024-02-01 16:55:50,21.015,21.01204,20.99053,21.05994
Can Max Denting (mm),LH1T-11,2290,2024-02-01 16:55:50,0.024,0.02278,0.01719,0.04652
Can Wall Thickness (mm),LH1T-11,2290,2024-02-01 16:55:50,0.232,0.23183,0.23047,0.23671
Can Circularity (Dmin/Dmax) (%),LH1T-11,2290,2024-02-01 16:55:50,99.886,99.89319,99.80708,99.97954
Can Inner Diameter (mm),LH1T-12,2291,2024-02-01 17:05:11,20.547,20.54414,20.51856,20.58305
Can Outer Diameter (mm),LH1T-12,2291,2024-02-01 17:05:11,21.015,21.01279,20.99287,21.05607
Can Max Denting (mm),LH1T-12,2291,2024-02-01 17:05:11,0.033,0.03319,0.02136,0.05158
Can Circularity (Dmin/Dmax) (%),LH1T-12,2291,2024-02-01 17:05:11,99.641,99.63242,99.51102,99.87374
Can Wall Thickness (mm),LH1T-12,2291,2024-02-01 17:05:11,0.234,0.23370,0.23201,0.23771
Can Inner Diameter (mm),LH1T-13,2292,2024-02-01 17:14:25,20.545,20.54241,20.51841,20.58287
Can Outer Diameter (mm),LH1T-13,2292,2024-02-01 17:14:25,21.014,21.01047,20.99119,21.05410
Can Max Denting (mm),LH1T-13,2292,2024-02-01 17:14:25,0.048,0.04520,0.03360,0.07873
Can Circularity (Dmin/Dmax) (%),LH1T-13,2292,2024-02-01 17:14:25,99.335,99.31236,99.12931,99.79412
Can Wall Thickness (mm),LH1T-13,2292,2024-02-01 17:14:25,0.234,0.23447,0.23165,0.23675
Can Inner Diameter (mm),LH1T-14,2293,2024-02-01 17:23:44,20.544,20.54251,20.51896,20.58222
Can Outer Diameter (mm),LH1T-14,2293,2024-02-01 17:23:44,21.014,21.01200,20.99055,21.05426
Can Max Denting (mm),LH1T-14,2293,2024-02-01 17:23:44,0.038,0.03696,0.02463,0.05661
Can Wall Thickness (mm),LH1T-14,2293,2024-02-01 17:23:44,0.235,0.23475,0.23211,0.23830
Can Circularity (Dmin/Dmax) (%),LH1T-14,2293,2024-02-01 17:23:44,99.547,99.52039,99.36572,99.82234
Can Inner Diameter (mm),LH1T-15,2294,2024-02-01 17:32:59,20.547,20.54247,20.51806,20.59896
Can Outer Diameter (mm),LH1T-15,2294,2024-02-01 17:32:59,21.014,21.01248,20.99162,21.06989
Can Wall Thickness (mm),LH1T-15,2294,2024-02-01 17:32:59,0.234,0.23425,0.23115,0.23680
Can Circularity (Dmin/Dmax) (%),LH1T-15,2294,2024-02-01 17:32:59,99.466,99.45603,99.26893,99.78214
Can Max Denting (mm),LH1T-15,2294,2024-02-01 17:32:59,0.043,0.04309,0.02869,0.07451
Can Inner Diameter (mm),LH1T-16,2295,2024-02-01 17:42:15,20.546,20.54513,20.51915,20.58695
Can Outer Diameter (mm),LH1T-16,2295,2024-02-01 17:42:15,21.015,21.01362,20.99080,21.05755
Can Max Denting (mm),LH1T-16,2295,2024-02-01 17:42:15,0.045,0.04380,0.02681,0.07829
Can Circularity (Dmin/Dmax) (%),LH1T-16,2295,2024-02-01 17:42:15,99.347,99.29897,99.10207,99.76826
