metric,sn,scan_id,scan_processed_date,mean,median,min,max
Core Area (mm²),LH1T-11,2290,2024-02-01 16:55:50,12.414,12.41829,12.37754,12.44532
Core Circularity (MCC) (%),LH1T-11,2290,2024-02-01 16:55:50,82.306,82.29670,79.49608,84.32643
Core Circularity (Dmin/Dmax) (%),LH1T-11,2290,2024-02-01 16:55:50,92.060,92.34205,90.67535,93.87199
Core Concentricity (mm),LH1T-11,2290,2024-02-01 16:55:50,0.143,0.14284,0.13132,0.15894
Core Effective Diameter (mm),LH1T-11,2290,2024-02-01 16:55:50,3.976,3.97632,3.96947,3.98054
Core Area (mm²),LH1T-12,2291,2024-02-01 17:05:11,12.290,12.29349,12.22006,12.34163
Core Circularity (MCC) (%),LH1T-12,2291,2024-02-01 17:05:11,82.627,82.73366,80.74319,84.02923
Core Circularity (Dmin/Dmax) (%),LH1T-12,2291,2024-02-01 17:05:11,89.345,89.12845,88.35134,91.09646
Core Effective Diameter (mm),LH1T-12,2291,2024-02-01 17:05:11,3.956,3.95635,3.94465,3.96441
Core Concentricity (mm),LH1T-12,2291,2024-02-01 17:05:11,0.107,0.10184,0.08514,0.13418
Core Area (mm²),LH1T-13,2292,2024-02-01 17:14:25,12.318,12.31891,12.28717,12.34930
Core Circularity (MCC) (%),LH1T-13,2292,2024-02-01 17:14:25,83.073,83.37117,80.69708,84.19042
Core Circularity (Dmin/Dmax) (%),LH1T-13,2292,2024-02-01 17:14:25,91.716,91.64061,90.96687,92.80947
Core Effective Diameter (mm),LH1T-13,2292,2024-02-01 17:14:25,3.960,3.96033,3.95520,3.96493
Core Concentricity (mm),LH1T-13,2292,2024-02-01 17:14:25,0.060,0.05653,0.03718,0.09964
Core Area (mm²),LH1T-14,2293,2024-02-01 17:23:44,12.256,12.25718,12.21280,12.29107
Core Circularity (MCC) (%),LH1T-14,2293,2024-02-01 17:23:44,82.362,82.68348,79.33621,83.79575
Core Circularity (Dmin/Dmax) (%),LH1T-14,2293,2024-02-01 17:23:44,90.493,90.43263,89.25178,92.02587
Core Concentricity (mm),LH1T-14,2293,2024-02-01 17:23:44,0.139,0.13898,0.12203,0.15265
Core Effective Diameter (mm),LH1T-14,2293,2024-02-01 17:23:44,3.950,3.95015,3.94309,3.95554
Core Area (mm²),LH1T-15,2294,2024-02-01 17:32:59,12.375,12.39381,12.25516,12.48539
Core Circularity (MCC) (%),LH1T-15,2294,2024-02-01 17:32:59,82.104,83.20612,78.66735,84.30652
Core Concentricity (mm),LH1T-15,2294,2024-02-01 17:32:59,0.076,0.08196,0.03572,0.12788
Core Circularity (Dmin/Dmax) (%),LH1T-15,2294,2024-02-01 17:32:59,91.835,92.12159,89.33010,94.71400
Core Effective Diameter (mm),LH1T-15,2294,2024-02-01 17:32:59,3.969,3.97209,3.94986,3.98685
Core Circularity (MCC) (%),LH1T-16,2295,2024-02-01 17:42:15,82.789,83.30710,78.93331,84.33642
Core Circularity (Dmin/Dmax) (%),LH1T-16,2295,2024-02-01 17:42:15,93.109,92.79021,91.43424,96.14910
Core Concentricity (mm),LH1T-16,2295,2024-02-01 17:42:15,0.159,0.15151,0.12542,0.20937
Core Effective Diameter (mm),LH1T-16,2295,2024-02-01 17:42:15,3.977,3.97847,3.96265,3.98970
Core Area (mm²),LH1T-16,2295,2024-02-01 17:42:15,12.422,12.43200,12.33410,12.50220
Core Area (mm²),LH1T-17,2296,2024-02-01 17:51:35,12.377,12.38225,12.30115,12.47584
Core Circularity (MCC) (%),LH1T-17,2296,2024-02-01 17:51:35,82.921,83.25481,78.09900,84.72090
Core Circularity (Dmin/Dmax) (%),LH1T-17,2296,2024-02-01 17:51:35,91.254,91.17932,89.74966,93.38864
Core Concentricity (mm),LH1T-17,2296,2024-02-01 17:51:35,0.173,0.18010,0.12528,0.24710
Core Effective Diameter (mm),LH1T-17,2296,2024-02-01 17:51:35,3.969,3.97041,3.95720,3.98554
Core Area (mm²),LH1T-18,2297,2024-02-01 18:00:55,12.372,12.37875,12.26189,12.45715
Core Circularity (MCC) (%),LH1T-18,2297,2024-02-01 18:00:55,82.759,83.25632,78.89042,84.67422
Core Circularity (Dmin/Dmax) (%),LH1T-18,2297,2024-02-01 18:00:55,91.980,91.82754,89.99402,95.07565
Core Concentricity (mm),LH1T-18,2297,2024-02-01 18:00:55,0.149,0.13981,0.11012,0.19313
Core Effective Diameter (mm),LH1T-18,2297,2024-02-01 18:00:55,3.969,3.96962,3.95088,3.98255
Core Area (mm²),LH1T-19,2298,2024-02-01 18:10:15,12.315,12.31527,12.27802,12.35495
