metric,sn,scan_id,scan_processed_date,mean,median,min,max
Cathode Width (mm),LH1T-62,2341,2024-02-02 00:48:25,64.034,64.05840,63.89440,64.15688
Cathode Width (mm),LH1T-63,2342,2024-02-02 00:57:33,64.031,64.04217,63.84541,64.15690
Cathode Width (mm),LH1T-64,2343,2024-02-02 01:06:52,64.023,64.04200,63.84522,64.14041
Cathode Width (mm),LH1T-65,2344,2024-02-02 01:16:04,64.025,64.04200,63.84520,64.14043
Cathode Width (mm),LH1T-66,2345,2024-02-02 01:25:25,64.031,64.04203,63.86160,64.14041
Cathode Width (mm),LH1T-67,2346,2024-02-02 01:34:37,64.025,64.02570,63.86160,64.12402
Cathode Width (mm),LH1T-68,2347,2024-02-02 01:43:56,64.017,64.02565,63.87800,64.12402
Cathode Width (mm),LH1T-69,2348,2024-02-02 01:53:14,64.026,64.04203,63.89440,64.14040
Cathode Width (mm),LH1T-70,2349,2024-02-02 02:02:29,64.027,64.04202,63.86160,64.15681
Cathode Width (mm),LH1T-71,2350,2024-02-02 02:11:45,64.026,64.04205,63.84520,64.14043
Cathode Width (mm),LH1T-72,2351,2024-02-02 02:20:58,64.033,64.05840,63.84521,64.15690
Cathode Width (mm),LH1T-73,2352,2024-02-02 02:30:12,64.023,64.04203,63.84523,64.14048
Cathode Width (mm),LH1T-74,2353,2024-02-02 02:39:30,64.023,64.04201,63.87800,64.14061
Cathode Width (mm),LH1T-75,2354,2024-02-02 02:48:44,64.043,64.05850,63.91085,64.15690
Cathode Width (mm),LH1T-76,2355,2024-02-02 02:57:59,64.024,64.04200,63.86160,64.14048
Cathode Width (mm),LH1T-77,2356,2024-02-02 03:07:18,64.029,64.04217,63.86163,64.15693
Cathode Width (mm),LH1T-78,2357,2024-02-02 03:16:32,64.033,64.04202,63.86160,64.14041
Cathode Width (mm),LH1T-79,2358,2024-02-02 03:25:44,64.032,64.05840,63.87800,64.15683
Cathode Width (mm),LH1T-80,2360,2024-02-02 03:35:06,64.028,64.04202,63.86168,64.14057
Cathode Width (mm),LH1T-81,2368,2024-02-02 07:59:10,64.024,64.04202,63.84520,64.14061
Cathode Width (mm),LH1T-82,2369,2024-02-02 08:08:26,64.027,64.04200,63.84522,64.15681
Cathode Width (mm),LH1T-83,2370,2024-02-02 08:17:46,64.031,64.04209,63.84525,64.15682
Cathode Width (mm),LH1T-84,2371,2024-02-02 08:36:58,64.028,64.04208,63.89441,64.14050
Cathode Width (mm),LH1T-85,2372,2024-02-02 08:46:19,64.032,64.04203,63.86161,64.15685
Cathode Width (mm),LH1T-86,2373,2024-02-02 08:55:47,64.025,64.04203,63.84522,64.14048
Cathode Width (mm),LH1T-87,2374,2024-02-02 09:05:14,64.037,64.05843,63.86160,64.15690
Cathode Width (mm),LH1T-88,2375,2024-02-02 09:14:36,64.023,64.04203,63.84522,64.14070
Cathode Width (mm),LH1T-89,2376,2024-02-02 09:23:55,64.031,64.04201,63.86160,64.15685
Cathode Width (mm),LH1T-90,2377,2024-02-02 09:33:16,64.021,64.04200,63.86160,64.14053
Cathode Width (mm),LH1T-91,2378,2024-02-02 09:42:42,64.025,64.04202,63.87800,64.14065
Cathode Width (mm),LH1T-92,2379,2024-02-02 09:52:09,64.048,64.05848,63.87800,64.17323
Cathode Width (mm),LH1T-93,2380,2024-02-02 10:01:29,64.031,64.04210,63.86170,64.14043
Cathode Width (mm),LH1T-94,2381,2024-02-02 10:10:49,64.027,64.04200,63.87800,64.14048
Cathode Width (mm),LH1T-95,2383,2024-02-02 10:20:11,64.048,64.07488,63.89443,64.17321
Cathode Width (mm),LH1T-96,2384,2024-02-02 10:29:36,64.034,64.05853,63.86163,64.15690
Cathode Width (mm),LH1T-97,2385,2024-02-02 10:39:00,64.025,64.04202,63.87800,64.14048
Cathode Width (mm),LH1T-98,2389,2024-02-02 10:48:24,64.027,64.04203,63.87800,64.14048
Cathode Width (mm),LH1T-99,2390,2024-02-02 10:57:52,64.028,64.04201,63.89440,64.14048
Cathode Width (mm),LH1T-100,2391,2024-02-02 11:07:10,64.022,64.02577,63.86161,64.14061
Cathode Width (mm),LH1T-101,2392,2024-02-02 11:16:29,64.035,64.05843,63.91116,64.14061
Cathode Width (mm),LH1T-102,2393,2024-02-02 11:25:57,64.067,64.10760,63.87801,64.18968
Cathode Width (mm),LH1T-103,2436,2024-02-02 11:49:50,64.035,64.05842,63.89440,64.15705
Cathode Width (mm),LH1T-104,2437,2024-02-02 12:49:06,64.025,64.04200,63.87800,64.15682
Cathode Width (mm),LH1T-105,2438,2024-02-02 12:58:19,64.033,64.04221,63.87802,64.17345
Cathode Width (mm),LH1T-106,2439,2024-02-02 13:07:35,64.046,64.05861,63.87801,64.18985
Cathode Width (mm),LH1T-107,2440,2024-02-02 13:16:56,64.034,64.04210,63.86160,64.15701
Cathode Width (mm),LH1T-108,2441,2024-02-02 13:26:21,64.016,64.02593,63.87830,64.14061
Cathode Width (mm),LH1T-109,2442,2024-02-02 13:35:39,64.039,64.05842,63.89440,64.15705
Cathode Width (mm),LH1T-110,2443,2024-02-02 13:45:06,64.041,64.05861,63.86160,64.15705
Cathode Width (mm),LH1T-111,2444,2024-02-02 13:54:27,64.042,64.05887,63.89465,64.17328
Cathode Width (mm),LH1T-112,2445,2024-02-02 14:04:14,64.036,64.05842,63.86163,64.15688
Cathode Width (mm),LH1T-113,2446,2024-02-02 14:13:35,64.036,64.05843,63.86162,64.15697
Cathode Width (mm),LH1T-114,2447,2024-02-02 14:23:01,64.023,64.04200,63.87800,64.15697
Cathode Width (mm),LH1T-115,2448,2024-02-02 14:32:28,64.039,64.05857,63.89440,64.15690
Cathode Width (mm),LH1T-116,2449,2024-02-04 14:46:59,64.024,64.04213,63.87803,64.14057
Cathode Width (mm),LH1T-117,2450,2024-02-04 14:56:09,64.029,64.04203,63.87801,64.15683
Cathode Width (mm),LH1T-118,2451,2024-02-04 15:05:18,64.107,64.14040,63.89441,64.20610
Cathode Width (mm),LH1T-119,2452,2024-02-04 15:14:30,64.027,64.05840,63.86160,64.14043
Cathode Width (mm),LH1T-120,2453,2024-02-04 15:23:46,64.034,64.04205,63.87800,64.15683
Cathode Width (mm),LH1T-121,2454,2024-02-04 15:32:55,64.027,64.04221,63.87800,64.15683
